Bluetooth	Width	Height	Thick	Weight	Memory card	OS	SoC	Wi-Fi	GPU core	CPU core	SIM type	Number of SIM cards	USB type	USB version	Position tracking	Display size	Display resolution	Display color depth	Image resolution	Video resolution	FPS	Battery type	Battery power	RAM	Storage	Price range
1	69.6	148.1	9.4	152.0	micro	Android	mediatek	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.34	0.5	24	8.0	0.9	30.0	Li-Polymer	2460.0	2.0	16.0	0
1	69.6	147.3	9.4	152.0	micro	Android	mediatek	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.34	0.5	24	8.0	0.9	30.0	Li-Polymer	2460.0	2.0	16.0	0
1	71.9	142.5	9.4	134.0	micro	Android	mediatek	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	2.0	16.0	0
1	75.8	162.1	8.6	175.0	micro	Android	mediatek	1	2	8	Nano	1.0 cards	USB Type-C	version 2.0	1	6.0	2.3	24	12.0	2.1	30.0	Li-Polymer	4000.0	2.0	32.0	0
1	74.55	153.7	8.5	158.0	micro	Android	mediatek	1	No info	8	Micro	1.0 cards	Micro USB	version 2.0	1	6.2	1.1	24	12.2	2.1	30.0	Li-Polymer	4000.0	3.0	32.0	0
1	255.0	155.0	9.35	415.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	1	10.1	1.0	24	5.0	0.9	30.0	Li-Polymer	4000.0	1.0	16.0	0
1	189.5	111.0	9.15	245.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	7.0	0.6	24	5.0	0.9	30.0	Li-Polymer	2580.0	1.0	8.0	0
1	70.6	146.9	9.2	156.0	micro	Android	mediatek	1	2	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.3	0.5	24	8.0	0.9	30.0	Li-Polymer	2460.0	1.0	16.0	0
1	70.6	147.5	9.1	151.0	micro	Android	mediatek	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.3	0.5	24	8.0	2.1	30.0	Li-Polymer	2460.0	2.0	16.0	0
1	71.6	153.5	8.5	144.0	micro	Android	mediatek	1	No info	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.7	1.0	24	13.0	2.1	24.0	Li-Polymer	3000.0	3.0	32.0	0
1	68.8	147.1	8.45	145.0	micro	Android	mediatek	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.5	1.0	24	13.0	2.1	30.0	Li-Polymer	3000.0	2.0	16.0	0
1	76.0	162.0	8.05	155.0	micro	Android	mediatek	1	2	4	Nano	2.0 cards	Micro USB	version 2.0	1	6.0	2.3	24	12.2	2.1	30.0	Li-Polymer	3000.0	3.0	16.0	0
1	71.88	141.5	9.9	157.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	2.0	16.0	0
1	76.0	161.0	7.9	169.0	micro	Android	mediatek	1	2	4	Nano	1.0 cards	Micro USB	version 2.0	1	6.0	1.0	24	8.0	2.1	30.0	Li-Polymer	3000.0	1.0	16.0	0
1	71.88	141.5	9.91	157.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	2.0	16.0	0
1	71.9	148.1	7.62	147.0	micro	Android	mediatek	1	2	8	Nano	1.0 cards	USB Type-C	version 2.0	1	5.2	2.1	24	12.2	2.1	30.0	Li-Polymer	2850.0	2.0	32.0	0
1	71.8	141.5	9.95	156.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	1.0	8.0	0
1	73.0	148.0	7.5	155.0	micro	Android	mediatek	1	3	8	Nano	2.0 cards	Micro USB	version 2.0	1	5.2	2.1	24	13.0	2.1	30.0	Li-Polymer	2800.0	3.0	16.0	0
1	81.5	159.6	8.65	175.0	micro	Android	mediatek	1	2	8	Nano	1.0 cards	Micro USB	version 2.0	1	6.0	2.1	24	12.2	2.1	30.0	Li-Polymer	4000.0	3.0	32.0	0
1	76.96	151.9	8.4	157.0	micro	Android	mediatek	1	2	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	13.0	2.1	30.0	Li-Polymer	3000.0	2.0	32.0	0
1	71.4	141.8	8.95	129.0	micro	Android	mediatek	1	1	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	0.9	30.0	Li-Polymer	2200.0	2.0	8.0	0
1	71.9	146.05	7.87	145.0	micro	Android	mediatek	1	2	4	Nano	1.0 cards	USB Type-C	version 2.0	1	5.2	0.9	24	13.0	2.1	30.0	Li-Polymer	2800.0	2.0	16.0	0
1	70.87	148.6	7.4	148.0	micro	Android	qualcomm	1	No info	8	Nano	1.0 cards	USB Type-C	version 2.0	1	5.2	2.1	24	13.0	2.1	30.0	Li-Polymer	2620.0	3.0	32.0	0
1	71.9	146.05	7.87	145.0	micro	Android	mediatek	1	2	4	Nano	1.0 cards	USB Type-C	version 2.0	1	5.2	0.9	24	13.0	2.1	30.0	Li-Polymer	2800.0	2.0	16.0	0
1	71.8	141.5	9.99	153.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	1.0	8.0	0
1	70.1	142.0	8.4	145.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	0.9	30.0	Li-Polymer	2460.0	2.0	16.0	0
