Brand and model_Brand,Brand and model_Model,Brand and model_Model alias,Design_Width,Design_Height,Design_Thickness,Design_Weight,Design_Volume,Design_Colors,Design_Body materials,Design_Certification,SIM card_SIM card type,SIM card_Number of SIM cards,SIM card_Features,Networks_GSM,Networks_CDMA,Networks_CDMA2000,Networks_W-CDMA,Networks_TD-SCDMA,Networks_UMTS,Networks_LTE,Mobile network technologies and bandwidth_Mobile network technologies,Operating system_Operating system (OS),Operating system_User interface (UI),System on Chip (SoC)_SoC,System on Chip (SoC)_Process technology,System on Chip (SoC)_CPU,System on Chip (SoC)_CPU bits,System on Chip (SoC)_Instruction set,System on Chip (SoC)_Level 2 cache memory (L2),System on Chip (SoC)_CPU cores,System on Chip (SoC)_CPU frequency,System on Chip (SoC)_GPU,System on Chip (SoC)_GPU cores,System on Chip (SoC)_GPU frequency,System on Chip (SoC)_RAM capacity,System on Chip (SoC)_RAM type,System on Chip (SoC)_RAM channels,System on Chip (SoC)_RAM frequency,Storage_Storage,Memory cards_Types,Display_Type/technology,Display_Diagonal size,Display_Width,Display_Height,Display_Aspect ratio,Display_Resolution,Display_Pixel density,Display_Color depth,Display_Display area,Display_Other features,Sensors_Sensors,Primary camera_Sensor model,Primary camera_Sensor type,Primary camera_ISO,Primary camera_Aperture,Primary camera_Flash type,Primary camera_Image resolution,Primary camera_Video resolution,Primary camera_Video FPS,Primary camera_Features,Primary camera_Focal length,Secondary camera_Sensor model,Secondary camera_Sensor type,Secondary camera_ISO,Secondary camera_Aperture,Secondary camera_Flash type,Secondary camera_Image resolution,Secondary camera_Video resolution,Secondary camera_Video FPS,Secondary camera_Features,Secondary camera_Focal length,Audio_Speaker,Radio_Radio,Tracking/Positioning_Tracking/Positioning,Wi-Fi_Wi-Fi,Bluetooth_Version,Bluetooth_Features,USB_Connector type,USB_Version,USB_Features,HDMI_HDMI,Headphone jack_Headphone jack,Connectivity_Connectivity,Browser_Browser,Audio file formats/codecs_Audio file formats/codecs,Video file formats/codecs_Video file formats/codecs,Battery_Capacity,Battery_Type,Battery_2G stand-by time,Battery_3G stand-by time,Battery_Charger output power,Battery_Features,Battery_Quick charge technology,Specific Absorption Rate (SAR)_Head SAR (EU),Specific Absorption Rate (SAR)_Body SAR (EU),Specific Absorption Rate (SAR)_Head SAR (USA),Specific Absorption Rate (SAR)_Body SAR (USA),Additional features_Additional features,Price
Hafury,Мiх,,76.8 mm (millimeters);7.68 cm (centimeters);0.25 ft (feet);3.02 in (inches),137.8 mm (millimeters);13.78 cm (centimeters);0.45 ft (feet);5.43 in (inches),10.8 mm (millimeters);1.08 cm (centimeters);0.04 ft (feet);0.43 in (inches),,114.3 cm³ (cubic centimeters);6.94 in³ (cubic inches),Black;Gold,Plastic,,Micro-SIM (3FF - third form factor; since 2003; 15.00 x 12.00 x 0.76 mm);Mini-SIM (2FF - second form factor; since late 1990s; 25.00 x 15.00 x 0.76 mm),2.0,Dual SIM stand-by (Both cards are active. When one is busy; the other is not active),GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 900 MHz;W-CDMA 2100 MHz,,,,UMTS (384 kbit/s );GPRS,Android 7.0 Nougat,,MediaTek MT6735,28 nm (nanometers),ARM Cortex-A53,64 bit,ARMv8,512 KB (kilobytes);0.5 MB (megabytes),4,1200 MHz (megahertz),ARM Mali-400 MP2,6,,2 GB (gigabytes),,Single channel,666 MHz (megahertz),16 GB (gigabytes),microSD;microSDHC,IPS,4.9 in (inches);124.46 mm (millimeters);12.45 cm (centimeters),2.05 in (inches);52.16 mm (millimeters);5.22 cm (centimeters),4.45 in (inches);113 mm (millimeters);11.3 cm (centimeters),2.167:1,720 x 1560 pixels,351 ppi (pixels per inch);137 ppcm (pixels per centimeter),24 bit;16777216 colors,55.87 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,,CMOS (complementary metal-oxide semiconductor),,f/2,LED,4416 x 2939 pixels;12.98 MP (megapixels),1280 x 720 pixels;0.92 MP (megapixels),30 fps (frames per second),Autofocus;Digital zoom;Panorama;Touch focus;White balance settings;Exposure compensation;Scene mode,,,,,,LED,2560 x 1920 pixels;4.92 MP (megapixels),640 x 480 pixels;0.31 MP (megapixels),30 fps (frames per second),,,Loudspeaker,Yes,GPS;A-GPS;GLONASS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999);802.11ac 5GHz;802.11ad (IEEE 802.11ad),4.1,A2DP (Advanced Audio Distribution Profile),USB Type-C,2.0,Charging;Mass storage,,Yes,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);DivX (.avi; .divx; .mkv);MKV (Matroska Multimedia Container; .mkv .mk3d .mka .mks);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);WMV (Windows Media Video; .wmv);Xvid,3100 mAh (milliampere-hours),Li-Polymer,,,,Removable,,,,,,,$78.80;$78.80
Hafury,UМах,,88.2 mm (millimeters);8.82 cm (centimeters);0.29 ft (feet);3.47 in (inches),157.8 mm (millimeters);15.78 cm (centimeters);0.52 ft (feet);6.21 in (inches),10.8 mm (millimeters);1.08 cm (centimeters);0.04 ft (feet);0.43 in (inches),,150.31 cm³ (cubic centimeters);9.13 in³ (cubic inches),Black;Gold,Plastic,,Micro-SIM (3FF - third form factor; since 2003; 15.00 x 12.00 x 0.76 mm),2.0,Dual SIM stand-by (Both cards are active. When one is busy; the other is not active),GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 850 MHz;W-CDMA 1700 MHz;W-CDMA 1900 MHz;W-CDMA 2100 MHz,,,,UMTS (384 kbit/s );GPRS,Android 7.0 Nougat,,MediaTek MT6735,28 nm (nanometers),ARM Cortex-A53,64 bit,ARMv8,512 KB (kilobytes);0.5 MB (megabytes),4,1400 MHz (megahertz),ARM Mali-400 MP2,3,,2 GB (gigabytes),,Single channel,433 MHz (megahertz),16 GB (gigabytes),microSD;microSDHC,IPS,6.1 in (inches);154.94 mm (millimeters);15.49 cm (centimeters),2.5 in (inches);63.58 mm (millimeters);6.36 cm (centimeters),5.56 in (inches);141.29 mm (millimeters);14.13 cm (centimeters),2.222:1,1080 x 2400 pixels,431 ppi (pixels per inch);169 ppcm (pixels per centimeter),24 bit;16777216 colors,64.76 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,,CMOS (complementary metal-oxide semiconductor),,f/2,Dual LED,4544 x 2856 pixels;12.98 MP (megapixels),1280 x 720 pixels;0.92 MP (megapixels),30 fps (frames per second),Autofocus;Digital zoom;Panorama;Touch focus;White balance settings;Exposure compensation;Scene mode,,,,,,LED,2560 x 1920 pixels;4.92 MP (megapixels),640 x 480 pixels;0.31 MP (megapixels),30 fps (frames per second),,,Loudspeaker,Yes,GPS;A-GPS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999),4.1,A2DP (Advanced Audio Distribution Profile),Micro USB,2.0,Charging;Mass storage,,Yes,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);DivX (.avi; .divx; .mkv);MKV (Matroska Multimedia Container; .mkv .mk3d .mka .mks);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);WMV (Windows Media Video; .wmv);Xvid,5100 mAh (milliampere-hours),Li-Polymer,,,,Removable,,,,0.348 W/kg (watts per kilogram),1.139 W/kg (watts per kilogram),,$83.43;$94.50;$94.50
Haipai,Х3S,,76.7 mm (millimeters);7.67 cm (centimeters);0.25 ft (feet);3.02 in (inches),137.6 mm (millimeters);13.76 cm (centimeters);0.45 ft (feet);5.42 in (inches),7.6 mm (millimeters);0.76 cm (centimeters);0.02 ft (feet);0.3 in (inches),142 g (grams);0.31 lbs (pounds);5.01 oz (ounces),80.21 cm³ (cubic centimeters);4.87 in³ (cubic inches),White;Blue;Gold,Plastic,,Mini-SIM (2FF - second form factor; since late 1990s; 25.00 x 15.00 x 0.76 mm),2.0,Dual SIM stand-by (Both cards are active. When one is busy; the other is not active),GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 850 MHz;W-CDMA 2100 MHz,,,,UMTS (384 kbit/s );GPRS,Android 4.2.2 Jelly Bean,,MediaTek MT6592,28 nm (nanometers),ARM Cortex-A53,64 bit,ARMv8,1024 KB (kilobytes);1 MB (megabytes),8,1600 MHz (megahertz),ARM Mali-450 MP4,7,550 MHz (megahertz),2 GB (gigabytes),,,,16 GB (gigabytes),microSD;microSDHC,IPS,5 in (inches);127 mm (millimeters);12.7 cm (centimeters),2.1 in (inches);53.22 mm (millimeters);5.32 cm (centimeters),4.54 in (inches);115.31 mm (millimeters);11.53 cm (centimeters),2.167:1,1080 x 2340 pixels,515 ppi (pixels per inch);202 ppcm (pixels per centimeter),24 bit;16777216 colors,58.34 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,,,,,LED,4352 x 2891 pixels;12.58 MP (megapixels),1920 x 1080 pixels;2.07 MP (megapixels),30 fps (frames per second),Autofocus;Touch focus,,,,,,,2560 x 1920 pixels;4.92 MP (megapixels),,,,,Loudspeaker;Earpiece,Yes,GPS;A-GPS;GLONASS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999);802.11ac 5GHz,,A2DP (Advanced Audio Distribution Profile),USB Type-C,2.0,Charging;Mass storage;On-The-Go,,Yes,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);MPEG-4;WMV (Windows Media Video; .wmv),2450 mAh (milliampere-hours),Li-Ion,,,,Removable,,,,,,,$243.09
HiSense,Ιnfinity Н11,,78.8 mm (millimeters);7.88 cm (centimeters);0.26 ft (feet);3.1 in (inches),150.3 mm (millimeters);15.03 cm (centimeters);0.49 ft (feet);5.92 in (inches),8.3 mm (millimeters);0.83 cm (centimeters);0.03 ft (feet);0.33 in (inches),185 g (grams);0.41 lbs (pounds);6.53 oz (ounces),98.3 cm³ (cubic centimeters);5.97 in³ (cubic inches),Black;Blue,Metal;Polycarbonate,,Nano-SIM (4FF - fourth form factor; since 2012; 12.30 x 8.80 x 0.67 mm);Nano-SIM / microSD,2.0,,GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 850 MHz;W-CDMA 900 MHz;W-CDMA 1700 MHz;W-CDMA 1900 MHz;W-CDMA 2100 MHz,,,LTE 800 MHz;LTE 850 MHz;LTE 900 MHz;LTE 1700/2100 MHz;LTE 1800 MHz;LTE 1900 MHz;LTE 2100 MHz;LTE 2600 MHz;LTE-TDD 2600 MHz (B38),UMTS (384 kbit/s );GPRS;LTE Cat 4 (51.0 Mbit/s ; 150.8 Mbit/s ),Android 7.1.2 Nougat,,Qualcomm Snapdragon 435 MSM8940,28 nm (nanometers),4x 1.4 GHz ARM Cortex-A53; 4x 1.1 GHz ARM Cortex-A53,64 bit,ARMv8,,8,1500 MHz (megahertz),Qualcomm Adreno 505,5,,3 GB (gigabytes),LPDDR3,Single channel,700 MHz (megahertz),32 GB (gigabytes),microSD;microSDHC;microSDXC,IPS,5.79 in (inches);147.07 mm (millimeters);14.71 cm (centimeters),2.59 in (inches);65.77 mm (millimeters);6.58 cm (centimeters),5.18 in (inches);131.54 mm (millimeters);13.15 cm (centimeters),2:1;2:1 (18:9),720 x 1440 pixels,278 ppi (pixels per inch);109 ppcm (pixels per centimeter),24 bit;16777216 colors,73.28 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer;Compass,Sony Exmor RS,CMOS (complementary metal-oxide semiconductor),,,Dual LED,4416 x 2761 pixels;12.19 MP (megapixels),1920 x 1080 pixels;2.07 MP (megapixels),30 fps (frames per second),Autofocus;Digital zoom;Panorama;Touch focus;White balance settings;Exposure compensation;Scene mode,,,CMOS (complementary metal-oxide semiconductor),,,,4864 x 3274 pixels;15.92 MP (megapixels),1920 x 1080 pixels;2.07 MP (megapixels),30 fps (frames per second),,,Loudspeaker;Earpiece,Yes,GPS;A-GPS,802.11a (IEEE 802.11a-1999);802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999),4.2,A2DP (Advanced Audio Distribution Profile),Micro USB,2.0,Charging;Mass storage;On-The-Go,,Yes,Computer sync;OTA sync;Infrared;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AAC+ / aacPlus / HE-AAC v1;AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);H.263;H.264 / MPEG-4 Part 10 / AVC video;H.265 / MPEG-H Part 2 / HEVC;MKV (Matroska Multimedia Container; .mkv .mk3d .mka .mks);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);WebM;WMV (Windows Media Video; .wmv);Xvid,3800 mAh (milliampere-hours),Li-Polymer,,,,Fast charging;Non-removable,Qualcomm Quick Charge 3.0,,,,,,$283.00
HiSense,Ιnfinity Н11 Litе,F24,79.7 mm (millimeters);7.97 cm (centimeters);0.26 ft (feet);3.14 in (inches),151.1 mm (millimeters);15.11 cm (centimeters);0.5 ft (feet);5.95 in (inches),9.2 mm (millimeters);0.92 cm (centimeters);0.03 ft (feet);0.36 in (inches),187 g (grams);0.41 lbs (pounds);6.6 oz (ounces),110.79 cm³ (cubic centimeters);6.73 in³ (cubic inches),Black;Violet,Metal,,Nano-SIM (4FF - fourth form factor; since 2012; 12.30 x 8.80 x 0.67 mm),2.0,,GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 900 MHz;W-CDMA 1900 MHz;W-CDMA 2100 MHz,,,LTE 800 MHz;LTE 900 MHz;LTE 1800 MHz;LTE 1900 MHz;LTE 2100 MHz;LTE 2600 MHz;LTE-TDD 2600 MHz (B38),UMTS (384 kbit/s );GPRS;LTE Cat 4 (51.0 Mbit/s ; 150.8 Mbit/s ),Android 7.0 Nougat,,MediaTek MT6750T,28 nm (nanometers),ARM Cortex-A7,32 bit,ARMv7,512 KB (kilobytes);0.5 MB (megabytes),4,1400 MHz (megahertz),ARM Mali-T720 MP2,6,450 MHz (megahertz),2 GB (gigabytes),LPDDR4,Single channel,866 MHz (megahertz),16 GB (gigabytes),microSD;microSDHC;microSDXC,IPS,5.89 in (inches);149.61 mm (millimeters);14.96 cm (centimeters),2.47 in (inches);62.69 mm (millimeters);6.27 cm (centimeters),5.35 in (inches);135.84 mm (millimeters);13.58 cm (centimeters),2.167:1,720 x 1560 pixels,292 ppi (pixels per inch);114 ppcm (pixels per centimeter),24 bit;16777216 colors,70.94 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,,CMOS (complementary metal-oxide semiconductor),,f/2.2,LED,4416 x 2939 pixels;12.98 MP (megapixels),1920 x 1080 pixels;2.07 MP (megapixels),30 fps (frames per second),Autofocus;Geotagging;HDR;Face detection;ISO settings;Scene mode,,,CMOS (complementary metal-oxide semiconductor),,f/2.2,LED,3648 x 2190 pixels;7.99 MP (megapixels),1280 x 720 pixels;0.92 MP (megapixels),30 fps (frames per second),,,Loudspeaker;Earpiece,Yes,GPS;A-GPS;GLONASS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999);802.11ac 5GHz;802.11ad (IEEE 802.11ad),4.2,A2DP (Advanced Audio Distribution Profile),USB Type-C,2.0,Charging;Mass storage;On-The-Go,,Yes,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AAC+ / aacPlus / HE-AAC v1;AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);H.263;H.264 / MPEG-4 Part 10 / AVC video;MKV (Matroska Multimedia Container; .mkv .mk3d .mka .mks);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);WebM;WMV (Windows Media Video; .wmv);Xvid,3700 mAh (milliampere-hours),Li-Polymer,,,5 V (volts) / 2 A (amps),Non-removable,,0.722 W/kg (watts per kilogram),1.537 W/kg (watts per kilogram),0.92 W/kg (watts per kilogram),0.4 W/kg (watts per kilogram),,$78.95;$78.95;$78.95;$96.99;$159.99;$197.50
HomTom,С13,,68.3 mm (millimeters);6.83 cm (centimeters);0.22 ft (feet);2.69 in (inches),131.1 mm (millimeters);13.11 cm (centimeters);0.43 ft (feet);5.16 in (inches),12.3 mm (millimeters);1.23 cm (centimeters);0.04 ft (feet);0.48 in (inches),176 g (grams);0.39 lbs (pounds);6.21 oz (ounces),110.14 cm³ (cubic centimeters);6.69 in³ (cubic inches),Black;White,Plastic,,Micro-SIM (3FF - third form factor; since 2003; 15.00 x 12.00 x 0.76 mm),2.0,Dual SIM stand-by (Both cards are active. When one is busy; the other is not active),GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 900 MHz;W-CDMA 2100 MHz,,,,UMTS (384 kbit/s );GPRS,Android 8.1 Oreo Go Edition,,MediaTek MT6737,28 nm (nanometers),ARM Cortex-A53,64 bit,ARMv8,512 KB (kilobytes);0.5 MB (megabytes),4,1400 MHz (megahertz),ARM Mali-400 MP2,7,566 MHz (megahertz),1 GB (gigabytes),LPDDR3,Single channel,433 MHz (megahertz),8 GB (gigabytes),microSD;microSDHC;microSDXC,IPS,4.8 in (inches);121.92 mm (millimeters);12.19 cm (centimeters),2.15 in (inches);54.52 mm (millimeters);5.45 cm (centimeters),4.29 in (inches);109.05 mm (millimeters);10.9 cm (centimeters),2:1;2:1 (18:9),720 x 1440 pixels,335 ppi (pixels per inch);131 ppcm (pixels per centimeter),24 bit;16777216 colors,66.62 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,,CMOS (complementary metal-oxide semiconductor),,f/2.2,Dual LED,2592 x 1944 pixels;5.04 MP (megapixels),1280 x 720 pixels;0.92 MP (megapixels),30 fps (frames per second),Autofocus;Digital zoom;Panorama;Touch focus;White balance settings;Exposure compensation;Scene mode,,,,,f/2.2,,1600 x 1200 pixels;1.92 MP (megapixels),640 x 480 pixels;0.31 MP (megapixels),30 fps (frames per second),,,Loudspeaker;Earpiece,Yes,GPS;A-GPS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999);802.11ad (IEEE 802.11ad),4.1,A2DP (Advanced Audio Distribution Profile),Micro USB,2.0,Charging;Mass storage,,Yes,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);Xvid,3300 mAh (milliampere-hours),Li-Ion,300 h (hours);18000 min (minutes);12.5 days,300 h (hours);18000 min (minutes);12.5 days,5 V (volts) / 1 A (amps),Removable,,,,,,,$40.78
HomTom,Н5,,77 mm (millimeters);7.7 cm (centimeters);0.25 ft (feet);3.03 in (inches),145.2 mm (millimeters);14.52 cm (centimeters);0.48 ft (feet);5.72 in (inches),8.7 mm (millimeters);0.87 cm (centimeters);0.03 ft (feet);0.34 in (inches),,97.27 cm³ (cubic centimeters);5.91 in³ (cubic inches),Black;Gold,Plastic;Aluminium alloy,,Nano-SIM / microSD;Micro-SIM (3FF - third form factor; since 2003; 15.00 x 12.00 x 0.76 mm),2.0,,GSM 850 MHz;GSM 900 MHz;GSM 1900 MHz,,,W-CDMA 900 MHz;W-CDMA 2100 MHz,,,LTE 800 MHz;LTE 850 MHz;LTE 900 MHz;LTE 1800 MHz;LTE 2100 MHz;LTE 2600 MHz;LTE-TDD 1900 MHz (B39);LTE-TDD 2300 MHz (B40);LTE-TDD 2600 MHz (B38),UMTS (384 kbit/s );GPRS;LTE Cat 4 (51.0 Mbit/s ; 150.8 Mbit/s ),360 (Android 8.1 Oreo),,MediaTek MT6739V/CW,28 nm (nanometers),ARM Cortex-A7,32 bit,ARMv7,,4,1400 MHz (megahertz),PowerVR GE8100,4,300 MHz (megahertz),2 GB (gigabytes),LPDDR4,Single channel,800 MHz (megahertz),32 GB (gigabytes),microSD;microSDHC;microSDXC,IPS,5.6 in (inches);142.24 mm (millimeters);14.22 cm (centimeters),2.35 in (inches);59.61 mm (millimeters);5.96 cm (centimeters),5.08 in (inches);129.15 mm (millimeters);12.91 cm (centimeters),2.167:1,720 x 1560 pixels,307 ppi (pixels per inch);120 ppcm (pixels per centimeter),24 bit;16777216 colors,69.08 % (percent),Capacitive;Multi-touch,Proximity;Light;Accelerometer,Samsung,ISOCELL,,,LED,4416 x 2939 pixels;12.98 MP (megapixels),1280 x 720 pixels;0.92 MP (megapixels),30 fps (frames per second),Autofocus;Digital zoom;Panorama;Touch focus;White balance settings;Exposure compensation;Scene mode,,,,,,LED,3648 x 2190 pixels;7.99 MP (megapixels),640 x 480 pixels;0.31 MP (megapixels),30 fps (frames per second),,,Loudspeaker;Earpiece,Yes,GPS;A-GPS;GLONASS,802.11b (IEEE 802.11b-1999);802.11g (IEEE 802.11g-2003);802.11a (IEEE 802.11a-1999);802.11ac 5GHz,4.1,A2DP (Advanced Audio Distribution Profile),USB Type-C,2.0,Charging;Mass storage;On-The-Go,,No,Computer sync;OTA sync;Tethering,HTML;HTML5;CSS 3,AAC (Advanced Audio Coding);AMR / AMR-NB / GSM-AMR (Adaptive Multi-Rate; .amr; .3ga);eAAC+ / aacPlus v2 / HE-AAC v2;FLAC (Free Lossless Audio Codec; .flac);MIDI;MP3 (MPEG-2 Audio Layer II; .mp3);OGG (.ogg; .ogv; .oga; .ogx; .spx; .opus);WMA (Windows Media Audio; .wma);WAV (Waveform Audio File Format; .wav; .wave),3GPP (3rd Generation Partnership Project; .3gp);AVI (Audio Video Interleaved; .avi);MP4 (MPEG-4 Part 14; .mp4; .m4a; .m4p; .m4b; .m4r; .m4v);Xvid,3850 mAh (milliampere-hours),Li-Ion,,,5 V (volts) / 2 A (amps),Fast charging;Non-removable,,,,,,,$57.40;$57.61;$68.56;$68.56;$68.79;$68.99;$69.83;$84.99;$94.24;$94.99;$99.99;$104.95;$104.95
