Brand	Name	Dim	Weight	Bat	Blue	CPU	Cam	Cores	Dis	GPU	Memory card	OS	Pos	RAM	SIM	SoC	Storage	USB	Wi-Fi	Average price
10.or	G2	No info	No info	5000 mAh, Li-Polymer	4.2	4x 1.8 GHz Kryo 260, 4x 1.6 GHz Kryo 260, Cores: 8	4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps	No info	6.18 in, IPS, 1080 x 2246 pixels, 24 bit	Qualcomm Adreno 509	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS, GLONASS	4 GB, 6 GB, 1333 MHz	Nano-SIM	Qualcomm Snapdragon 636	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	262.63
10.or	D2	70.5 x 147.7 x 8.6 mm	144 g	3200 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1400 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.45 in, IPS, 720 x 1440 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS, GLONASS	2 GB, 3 GB, 667 MHz	Nano-SIM	Qualcomm Snapdragon 425 MSM8917	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	185.00
10.or	G	76 x 155 x 8.5 mm	170 g	4000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 2200 MHz, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 7.1.2 Nougat	GPS, A-GPS, GLONASS	3 GB, 4 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 626 MSM8953 Pro	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	262.63
360	N5	76 x 152 x 8.25 mm	156 g	4000 mAh, Li-Polymer	4.2	4x 1.95 GHz ARM Cortex-A72, 4x 1.44 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 510	microSD, microSDHC, microSDXC	360 2.0 (Android 6.0 Marshmallow)	GPS, A-GPS, GLONASS, BeiDou	6 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 653 MSM8976 Pro	32 GB, 64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	197.11
Q5	Plus	80 x 156.5 x 8.3 mm	175 g	3700 mAh, Li-Ion	4.1	2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4	4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, Super AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 530, 624 MHz	microSD, microSDHC, microSDXC	360 2.0 (Android 6.0 Marshmallow)	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 820 MSM8996	128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	463.27
360	Q5	74 x 149.5 x 8.5 mm	164 g	3200 mAh, Li-Ion	4.1	4x 1.8 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 510, 550 MHz	microSD, microSDHC, microSDXC	360 2.0 (Android 6.0 Marshmallow)	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 652 MSM8976	128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	317.18
360	N4s	74.6 x 151.3 x 8.35 mm	169 g	5000 mAh, Li-Polymer	4.1	2x 2.0 GHz ARM Cortex-A72, 4x 1.85 GHz ARM Cortex-A53, 4x 1.4 GHz ARM Cortex-A53	5312 x 2988 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T880 MP4, 780 MHz, Cores: 4	microSD, microSDHC, microSDXC	360 2.0 (Android 6.0 Marshmallow)	GPS, A-GPS, GLONASS, BeiDou	4 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek Helio X20 (MT6797M)	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	231.13
360	N4	75.7 x 149 x 8.3 mm	140 g	3080 mAh, Li-Polymer	4.0	2x 2.0 GHz ARM Cortex-A72, 4x 1.85 GHz ARM Cortex-A53, 4x 1.4 GHz ARM Cortex-A53	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T880 MP4, 780 MHz, Cores: 4	microSD, microSDHC, microSDXC	360 (Android 6.0 Marshmallow)	GPS, A-GPS, GLONASS	4 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek Helio X20 (MT6797M)	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	168.22
Tab	10	238.2 x 172.2 x 9.98 mm	549 g	Li-Polymer	4.1	2x 2.0 GHz ARM Cortex-A72, 4x 1.5 GHz ARM Cortex-A53, Cores: 6	2624 x 1968 pixels, 1920 x 1080 pixels, 30 fps	No info	9.7 in, IPS, 2048 x 1536 pixels, 24 bit	ARM Mali-T860 MP4, Cores: 4	microSD, microSDHC, microSDXC	Chrome	No info	4 GB, 1866 MHz	No info	Rockchip RK3399	32 GB	USB Type-C	a, b, g, n, ac	344.56
Jade	Primo	76.8 x 156.6 x 8.5 mm	150 g	2800 mAh, Li-Polymer	4.1	2x 1.8 GHz ARM Cortex-A57, 4x 1.44 GHz ARM Cortex-A53, Cores: 6	5344 x 4016 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 418, 600 MHz	microSD, microSDHC, microSDXC	Microsoft Windows 10 Continuum	GPS, A-GPS	3 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 808 MSM8992	32 GB	2.0, USB Type-C	a, b, g, n, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	94.59
Liquid	Z410	66.7 x 136 x 9.9 mm	145 g	2000 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	4.5 in, IPS, 540 x 960 pixels, 24 bit	ARM Mali-T760 MP2, 500 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 4.4.4 KitKat	GPS, A-GPS	1 GB, 800 MHz	Micro-SIM	MediaTek MT6732M	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	99.99
Liquid	Z2	62.5 x 110 x 12.3 mm	110 g	1300 mAh, Li-Ion	3.0	ARM Cortex-A5, 1000 MHz, Cores: 1	2048 x 1536 pixels	No info	3.5 in, TFT, 320 x 480 pixels, 18 bit	Qualcomm Adreno 200	microSD, microSDHC	Android 4.1.1 Jelly Bean	GPS, A-GPS	512 MB, 200 MHz	Mini-SIM	Qualcomm Snapdragon S1 MSM7227A	4 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	249.00
AGM	A9	81.4 x 168 x 12.6 mm	251 g	5400 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1800 MHz, Cores: 8	4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps	No info	5.99 in, IPS, 1080 x 2160 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM / microSD, Nano-SIM	Qualcomm Snapdragon 450	32 GB, 64 GB	2.0, USB Type-C	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	270.02
AGM	X3	81.5 x 167.5 x 10.5 mm	216 g	4100 mAh, Li-Polymer	5.0	4x 2.8 GHz Kryo 385, 4x 1.8 GHz Kryo 385, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	5.99 in, TFT, 1080 x 2160 pixels, 24 bit	Qualcomm Adreno 630, 710 MHz	microSD, microSDHC, microSDXC	X OS 3.0 (Android 8.1 Oreo)	GPS, A-GPS, GLONASS, BeiDou	6 GB, 8 GB, 1866 MHz	Nano-SIM / microSD, Nano-SIM	Qualcomm Snapdragon 845	64 GB, 128 GB, 256 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	642.17
X2	SE	83.4 x 168.5 x 14 mm	250 g	6000 mAh, Li-Polymer	4.0	4x 1.95 GHz ARM Cortex-A72, 4x 1.44 GHz ARM Cortex-A53, Cores: 8	4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 510	microSD, microSDHC, microSDXC	Android 7.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	6 GB, 933 MHz	Nano-SIM / microSD, Nano-SIM	Qualcomm Snapdragon 653 MSM8976 Pro	64 GB	2.0, USB Type-C	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	400.32
X1	mini	75 x 155 x 13 mm	189 g	4000 mAh, Li-Polymer	4.0	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, TFT, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS	2 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	124.48
AGM	A7	74 x 139 x 18 mm	255 g	2930 mAh, Li-Polymer	4.0	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	4 in, TFT, 480 x 800 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS	2 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	145.02
A8	SE	83 x 159 x 16 mm	247 g	4050 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1200 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 410 MSM8916	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	126.60
A8	Mini	70 x 131 x 15 mm	192 g	2600 mAh, Li-Polymer	4.0	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	4 in, TFT, 480 x 800 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS	2 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	91.00
AGM	A1Q	83 x 158 x 16 mm	245 g	4050 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1200 MHz, Cores: 4	4160 x 3120 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 410 MSM8916	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	165.99
AGM	X2	83.4 x 168.5 x 14 mm	250 g	6000 mAh, Li-Polymer	4.0	4x 1.95 GHz ARM Cortex-A72, 4x 1.44 GHz ARM Cortex-A53, Cores: 8	4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 510	microSD, microSDHC, microSDXC	Android 7.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	6 GB, 933 MHz	Nano-SIM / microSD, Nano-SIM	Qualcomm Snapdragon 653 MSM8976 Pro	64 GB, 128 GB	2.0, USB Type-C	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	520.95
AGM	A8	83 x 159 x 16 mm	247 g	4050 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1200 MHz, Cores: 4	4160 x 3120 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 4 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 410 MSM8916	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	164.32
AGM	A2	73.2 x 133.2 x 14.5 mm	225 g	2600 mAh, Li-Polymer	4.0	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	4 in, TFT, 480 x 800 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 5.1.1 Lollipop	GPS, A-GPS	2 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	139.62
AGM	X1	78.7 x 163.5 x 11.88 mm	210 g	5400 mAh, Li-Polymer	4.0	4x 1.5 GHz ARM Cortex-A53, 4x 1.2 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, Super AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 405	microSD, microSDHC, microSDXC	X OS 1.0 (Android 5.1.1 Lollipop)	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM / microSD, Micro-SIM	Qualcomm Snapdragon 617 MSM8952	64 GB	2.0, Micro USB	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	232.83
3X	(2019)	75.8 x 164.8 x 8.39 mm	178 g	4000 mAh, Li-Ion	4.2	4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	6.52 in, IPS, 720 x 1600 pixels, 24 bit	ARM Mali-G71 MP2, 700 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS	4 GB	Nano-SIM / microSD, Nano-SIM	MediaTek Helio P23 (MT6763V)	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	179.99
3T	10	260 x 156.6 x 8.95 mm	440 g	4080 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1280 MHz, Cores: 4	1600 x 1200 pixels, 1280 x 720 pixels, 30 fps	No info	10 in, IPS, 1280 x 800 pixels, 24 bit	No info	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS	2 GB	Nano-SIM	MediaTek MT8765B	16 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Direct, Wi-Fi Display	198.00
1	(2019)	65.7 x 137.6 x 9.8 mm	134 g	2000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, LCD, 480 x 960 pixels, 24 bit	PowerVR GE8100, 570 MHz	microSD, microSDHC	Android 8.0 Oreo Go Edition	GPS, A-GPS	1 GB, 667 MHz	Nano-SIM	MediaTek MT6739	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	69.90
Alcatel	1S	70.7 x 147.8 x 8.6 mm	146 g	3060 mAh, Li-Polymer	4.2	4x 1.6 GHz ARM Cortex-A55, 4x 1.2 GHz ARM Cortex-A55, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1440 pixels, 24 bit	PowerVR GE8322	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS	3 GB	Nano-SIM	Unisoc SC9863A	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	115.00
Alcatel	Onyx	68.8 x 146.35 x 8.3 mm	130 g	3000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1500 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1440 pixels, 24 bit	PowerVR GE8100	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 667 MHz	Nano-SIM	MediaTek MT6739WW	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	65.70
1X	Evolve	70.62 x 147.55 x 9.05 mm	155 g	2460 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1300 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	5.34 in, IPS, 480 x 960 pixels, 24 bit	PowerVR GE8100, 570 MHz	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 667 MHz	Nano-SIM	MediaTek MT6739	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	87.99
Alcatel	LX	69.6 x 148.1 x 9.4 mm	152 g	2460 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5.34 in, IPS, 480 x 960 pixels, 24 bit	PowerVR GE8100	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 667 MHz	Nano-SIM	MediaTek MT6739WM	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	149.00
Alcatel	IdeaXTRA	69.6 x 147.3 x 9.4 mm	152 g	2460 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5.34 in, IPS, 480 x 960 pixels, 24 bit	PowerVR GE8100	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 667 MHz	Nano-SIM	MediaTek MT6739WM	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	68.16
Alcatel	Tetra	71.9 x 142.5 x 9.4 mm	134 g	2050 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 480 x 854 pixels, 24 bit	PowerVR GE8100, 570 MHz	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 667 MHz	Nano-SIM	MediaTek MT6739	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	55.83
Alcatel	7	75.8 x 162.1 x 8.6 mm	175 g	4000 mAh, Li-Polymer	4.2	4x 2.3 GHz ARM Cortex-A53, 4x 1.65 GHz ARM Cortex-A53, Cores: 8	4000 x 3000 pixels, 1920 x 1080 pixels, 30 fps	No info	6 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-G71 MP2, 770 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	2 GB, 1600 MHz	Nano-SIM	MediaTek Helio P23 (MT6763T)	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	119.37
Alcatel	5V	74.55 x 153.7 x 8.5 mm	158 g	4000 mAh, Li-Polymer	4.0	4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	6.2 in, IPS, 720 x 1500 pixels, 24 bit	PowerVR GE8320, 650 MHz	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	3 GB, 933 MHz	Micro-SIM	MediaTek Helio P22 (MT6762)	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	245.90
1T	10	255 x 155 x 9.35 mm	415 g	4000 mAh, Li-Polymer	4.2	ARM Cortex-A7, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	10.1 in, IPS, 1280 x 800 pixels, 24 bit	ARM Mali-400 MP2, 500 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS	1 GB	No info	MediaTek MT8321	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	149.99
1T	7	189.5 x 111 x 9.15 mm	245 g	2580 mAh, Li-Polymer	4.2	ARM Cortex-A7, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	7 in, TFT, 1024 x 600 pixels, 24 bit	ARM Mali-400 MP2, 500 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 8.1 Oreo Go Edition	No info	1 GB	No info	MediaTek MT8321	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	64.99
Alcatel	1C	70.6 x 146.9 x 9.2 mm	156 g	2460 mAh, Li-Polymer	4.2	ARM Cortex-A7, 1300 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5.3 in, IPS, 480 x 960 pixels, 24 bit	ARM Mali-400 MP2, 416 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	1 GB, 533 MHz	Nano-SIM	MediaTek MT6580M	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	93.97
Alcatel	1X	70.6 x 147.5 x 9.1 mm	151 g	2460 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1300 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	5.3 in, IPS, 480 x 960 pixels, 24 bit	PowerVR GE8100, 570 MHz	microSD, microSDHC, microSDXC	Android 8.1 Oreo Go Edition	GPS, A-GPS	1 GB, 2 GB, 667 MHz	Nano-SIM	MediaTek MT6739	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	99.14
Alcatel	3X	71.6 x 153.5 x 8.5 mm	144 g	3000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1300 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 24 fps	No info	5.7 in, IPS, 720 x 1440 pixels, 24 bit	PowerVR GE8100, 570 MHz	microSD, microSDHC, microSDXC	Android 7.1.1 Nougat	GPS, A-GPS, GLONASS	3 GB, 667 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek MT6739	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	179.99
Alcatel	3V	76 x 162 x 8.05 mm	155 g	3000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1450 MHz, Cores: 4	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	6 in, IPS, 1080 x 2160 pixels, 24 bit	ARM Mali-T720 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS	2 GB, 3 GB, 640 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek MT8735A	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	173.50
Alcatel	Verso	71.88 x 141.5 x 9.9 mm	157 g	2050 mAh, Li-Polymer	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 480 x 854 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	2 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	64.34
Alcatel	3C	76 x 161 x 7.9 mm	169 g	3000 mAh, Li-Polymer	4.2	ARM Cortex-A7, 1300 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	6 in, IPS, 720 x 1440 pixels, 24 bit	ARM Mali-400 MP2, 500 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	1 GB	Nano-SIM	MediaTek MT8321	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	89.00
Alcatel	CameoX	71.88 x 141.5 x 9.91 mm	157 g	2050 mAh, Li-Polymer	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 480 x 854 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	2 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	61.06
5	Cricket	71.9 x 148.1 x 7.62 mm	147 g	2850 mAh, Li-Polymer	4.2	4x 2.3 GHz ARM Cortex-A53, 4x 1.6 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T880 MP2, 900 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 1600 MHz	Nano-SIM	MediaTek Helio P20 (MT6757)	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	69.99
Alcatel	U50	71.8 x 141.5 x 9.95 mm	156 g	2050 mAh, Li-Polymer	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, IPS, 480 x 854 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	1 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	54.00
