Brand	Name	Dim	Weight	Bat	Blue	CPU	Cam	Cores	Dis	GPU	Memory card	OS	Pos	RAM	SIM	SoC	Storage	USB	Wi-Fi	Average price
Selfie	Pro	74.83 x 154.02 x 6.85 mm	147 g	3000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 2200 MHz, Cores: 8	4640 x 3480 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 7.1.1 Nougat	GPS, A-GPS, GLONASS, BeiDou, Galileo	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 625 MSM8953	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	278.01
4	Selfie	75.9 x 155.66 x 7.85 mm	144 g	3000 mAh, Li-Polymer	4.0	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 7.1.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 430 MSM8937	64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	162.33
Max	ZC550TL	76.6 x 154.5 x 8.85 mm	200 g	5000 mAh, Li-Polymer	4.0	4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T860 MP2, 520 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 667 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek MT6750	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	192.00
Max	SD425	76.9 x 154 x 8.9 mm	181 g	5000 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1400 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 308, 500 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	2 GB, 3 GB, 4 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 425 MSM8917	16 GB, 32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	89.99
Pegasus	4A	71.26 x 144.26 x 9.1 mm	161 g	4100 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1250 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP1, 600 MHz, Cores: 1	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	3 GB, 640 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek MT6737V	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	148.70
10	Z301MF	251.77 x 172.17 x 8.95 mm	470 g	4680 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1500 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	10.1 in, IPS, 1920 x 1200 pixels, 24 bit	ARM Mali-T720 MP2, 600 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	2 GB, 800 MHz	No info	MediaTek MT8163A	16 GB, 32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, Wi-Fi Display	250.46
10	Z301ML	251.77 x 172.17 x 8.95 mm	490 g	4680 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	10.1 in, IPS, 1280 x 800 pixels, 24 bit	ARM Mali-T720 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	2 GB, 3 GB, 640 MHz	Micro-SIM	MediaTek MT8735W	16 GB, 32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, Wi-Fi Display	117.50
Max	ZC521TL	73.7 x 149.5 x 8.85 mm	175 g	5000 mAh, Li-Polymer	4.0	4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T860 MP2, 520 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 667 MHz	Micro-SIM, Nano-SIM / microSD	MediaTek MT6750	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	156.02
Pegasus	3S	73.7 x 149.5 x 8.85 mm	169 g	5000 mAh, Li-Polymer	4.0	4x 1.5 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T860 MP2, 520 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS	3 GB, 667 MHz	Micro-SIM, Nano-SIM / microSD	MediaTek MT6750	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	182.58
Zoom	ZE553KL	77 x 154.3 x 7.99 mm	170 g	5000 mAh, Li-Polymer	4.2	ARM Cortex-A53, 2000 MHz, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 625 MSM8953	32 GB, 64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	564.97
ZenFone	AR	77.7 x 158.67 x 8.95 mm	170 g	3300 mAh, Li-Polymer	4.2	2x 2.35 GHz Kryo, 2x 2.0 GHz Kryo, Cores: 4	5488 x 4096 pixels, 3840 x 2160 pixels, 30 fps	No info	5.7 in, Super AMOLED, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 530, 653 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	6 GB, 8 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 821 MSM8996 Pro	32 GB, 64 GB, 128 GB, 256 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	199.47
ZenPad	Z10	242.3 x 166.1 x 7.1 mm	490 g	7800 mAh, Li-Polymer	4.1	2x 1.8 GHz ARM Cortex-A72, 4x 1.2 GHz ARM Cortex-A53, Cores: 6	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	9.7 in, IPS, 2048 x 1536 pixels, 24 bit	Qualcomm Adreno 510, 550 MHz	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS	3 GB, 933 MHz	Nano-SIM	Qualcomm Snapdragon 650 MSM8956	32 GB	2.0, USB Type-C	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Display	199.96
Max	ZC553KL	76.24 x 151.4 x 8.3 mm	175 g	4100 mAh, Li-Polymer	4.1	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	2 GB, 3 GB, 800 MHz	Micro-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 430 MSM8937	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	143.34
Deluxe	ZS550KL	76.7 x 151.45 x 7.8 mm	150 g	3000 mAh, Li-Ion	4.2	ARM Cortex-A53, 2000 MHz, Cores: 8	4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Micro-SIM / microSD	Qualcomm Snapdragon 625 MSM8953	64 GB	3.0, USB Type-C	b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	276.48
Max	ZC520TL	73.7 x 149.5 x 8.55 mm	148 g	4100 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1250 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP1, 550 MHz, Cores: 1	microSD, microSDHC	Android 6.0 Marshmallow	GPS, A-GPS	2 GB, 3 GB, 640 MHz	Micro-SIM, Nano-SIM / microSD	MediaTek MT6737M	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	158.57
10	Z500M	240.5 x 163.7 x 7.15 mm	430 g	5900 mAh, Li-Polymer	4.2	2x 2.1 GHz ARM Cortex-A72, 4x 1.7 GHz ARM Cortex-A53, Cores: 6	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	9.7 in, IPS, 2048 x 1536 pixels, 24 bit	PowerVR GX6250, 650 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	4 GB, 933 MHz	No info	MediaTek MT8176	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, ac	402.99
3	ZE520KL	73.98 x 146.87 x 7.69 mm	144 g	2650 mAh, Li-Ion	4.2	ARM Cortex-A53, 2000 MHz, Cores: 8	4656 x 3492 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Nano-SIM, Micro-SIM / microSD	Qualcomm Snapdragon 625 MSM8953	32 GB, 64 GB	2.0, USB Type-C	b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	239.99
ZenPad	Z8	205.2 x 136.4 x 7.62 mm	310 g	4680 mAh, Li-Polymer	4.1	2x 1.8 GHz ARM Cortex-A72, 4x 1.2 GHz ARM Cortex-A53, Cores: 6	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	7.9 in, IPS, 2048 x 1536 pixels, 24 bit	Qualcomm Adreno 510, 550 MHz	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS	2 GB, 933 MHz	Micro-SIM	Qualcomm Snapdragon 650 MSM8956	16 GB	2.0, USB Type-C	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Display	157.64
Pegasus	3	73.7 x 149.5 x 8.55 mm	158 g	4100 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1300 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP1, 600 MHz, Cores: 1	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS	2 GB, 3 GB, 640 MHz	Micro-SIM, Nano-SIM / microSD	MediaTek MT6737	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	177.54
3	ZE552KL	77.38 x 152.59 x 7.69 mm	155 g	3000 mAh, Li-Ion	4.2	ARM Cortex-A53, 2000 MHz, Cores: 8	4656 x 3492 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	3 GB, 4 GB, 933 MHz	Micro-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 625 MSM8953	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	285.16
Go	ZB551KL	76.9 x 151 x 10.7 mm	160 g	3010 mAh, Li-Ion	4.0	ARM Cortex-A7, 1400 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 305, Cores: 1	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS, GLONASS, BeiDou	2 GB	Micro-SIM	Qualcomm Snapdragon 400 MSM8928	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	126.54
Asus	Live	71 x 144.5 x 9.98 mm	140 g	2070 mAh, Li-Polymer	4.0	ARM Cortex-A7, 1300 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-400 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS	2 GB, 533 MHz	Micro-SIM	MediaTek MT6580	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	127.99
Go	ZC451TG	67 x 135 x 10.1 mm	133 g	1600 mAh, Li-Ion	4.0	ARM Cortex-A7, 1300 MHz, Cores: 4	2592 x 1944 pixels, 1280 x 720 pixels, 30 fps	No info	4.5 in, TFT, 480 x 854 pixels, 24 bit	ARM Mali-400 MP2, 416 MHz, Cores: 2	microSD, microSDHC	Android 5.1 Lollipop	GPS, A-GPS	1 GB, 533 MHz	Micro-SIM	MediaTek MT6580M	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	85.00
ZenFone	Max	77.5 x 156 x 10.55 mm	202 g	5000 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1200 MHz, Cores: 4	4096 x 3072 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC, microSDXC	Android 5.0.2 Lollipop	GPS, A-GPS, GLONASS, BeiDou	2 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 410 MSM8916	8 GB, 16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	154.65
Laser	ZE600KL	84 x 164.55 x 10.55 mm	190 g	3000 mAh, Li-Polymer	4.1	4x 1.7 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4096 x 3072 pixels, 1920 x 1080 pixels, 30 fps	No info	6 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 405, 550 MHz	microSD, microSDHC, microSDXC	Android 5.0.2 Lollipop	GPS, A-GPS, GLONASS, BeiDou	2 GB, 3 GB, 800 MHz	Micro-SIM	Qualcomm Snapdragon 615 MSM8939	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, ac, Wi-Fi Hotspot	219.87
Laser	ZE550KL	77.2 x 152.5 x 10.8 mm	170 g	3000 mAh, Li-Polymer	4.0	ARM Cortex-A53, 1200 MHz, Cores: 4	4096 x 3072 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC, microSDXC	Android 5.0.2 Lollipop	GPS, A-GPS, GLONASS, BeiDou	2 GB, 3 GB, 533 MHz	Micro-SIM	Qualcomm Snapdragon 410 MSM8916	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	275.94
ZenFone	2E	71.4 x 148.1 x 10.9 mm	155 g	2500 mAh, Li-Polymer	4.0	Intel Clover Trail+, 1600 MHz, Cores: 2	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	PowerVR SGX544 MP2, 400 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 5.0.1 Lollipop	GPS, A-GPS, GLONASS	1 GB, 533 MHz	Micro-SIM	Intel Atom Z2560	8 GB	2.0, Micro USB	a, b, g, n, Wi-Fi Hotspot	67.76
2	Plus	75.5 x 151.8 x 8.3 mm	153 g	3030 mAh, Li-Ion	4.0	4x 1.7 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 405, 550 MHz	microSD, microSDHC, microSDXC	Android 5.1.1 Lollipop	GPS, A-GPS	2 GB, 3 GB, 800 MHz	Micro-SIM	Qualcomm Snapdragon 615 MSM8939	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	121.96
S	8.0	203.2 x 134.5 x 6.9 mm	317 g	4000 mAh, Li-Polymer	4.1	Intel Silvermont, 1330 MHz, Cores: 4	2560 x 1920 pixels	No info	8 in, IPS, 2048 x 1536 pixels, 24 bit	PowerVR G6430 MP4, 457 MHz, Cores: 4	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, GLONASS	2 GB	No info	Intel Atom Z3530	16 GB, 32 GB	2.0, Micro USB	b, g, n, ac, Wi-Fi Display	713.00
2	ZE550ML	77.2 x 152.5 x 10.9 mm	170 g	3000 mAh, Li-Polymer	4.0	Intel Silvermont, 1830 MHz, Cores: 4	4160 x 3128 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	PowerVR G6430 MP4, 533 MHz, Cores: 4	microSD, microSDHC, microSDXC	Android 5.0.2 Lollipop	GPS, A-GPS, GLONASS	2 GB	Micro-SIM	Intel Atom Z3560	16 GB	2.0, Micro USB	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	209.55
ZenFone	Zoom	78.84 x 158.9 x 11.95 mm	185 g	3000 mAh, Li-Polymer	4.0	Intel Silvermont, 2300 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	PowerVR G6430 MP4, 533 MHz, Cores: 4	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, A-GPS, GLONASS	2 GB, 4 GB	Micro-SIM	Intel Atom Z3580	16 GB, 32 GB, 64 GB, 128 GB	2.0, Micro USB	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	849.90
ZE551ML	Z3580	77.2 x 152.5 x 10.9 mm	170 g	3000 mAh, Li-Polymer	4.0	Intel Silvermont, 2300 MHz, Cores: 4	4096 x 3072 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	PowerVR G6430 MP4, 533 MHz, Cores: 4	microSD, microSDHC, microSDXC	Android 5.0.1 Lollipop	GPS, A-GPS, GLONASS	4 GB	Micro-SIM	Intel Atom Z3580	32 GB, 64 GB, 128 GB	2.0, Micro USB	a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct	203.02
X	mini	66.2 x 132.2 x 12.6 mm	149 g	2060 mAh, Li-Polymer	4.0	Intel Clover Trail+, 1600 MHz, Cores: 2	2560 x 1920 pixels, 1920 x 1080 pixels, 30 fps	No info	4.5 in, IPS, 480 x 854 pixels, 24 bit	PowerVR SGX544 MP2, 400 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 4.4.2 KitKat	GPS, A-GPS	1 GB, 533 MHz	Micro-SIM	Intel Atom Z2560	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	74.71
